PM1;PM2;PM3;PM4;SC1;SC2;SC3;SC4;SC5;SC6;CU1;CU2;CU3;CU4;TR1;TR2;TR3;TR4;CV1;CV2;CV3;CV4;PM5;GENDER;AGE;EDU;JOB;WORK_AI;AI_FAM
3.000000000000;4.000000000000;1.000000000000;2.000000000000;6.000000000000;4.000000000000;4.000000000000;7.000000000000;7.000000000000;7.000000000000;4.000000000000;4.000000000000;5.000000000000;2.000000000000;1.000000000000;1.000000000000;1.000000000000;2.000000000000;2.000000000000;3.000000000000;4.000000000000;1.000000000000;3.000000000000;1.000000000000;2.000000000000;2.000000000000;1.000000000000;1.000000000000;3.000000000000
4.000000000000;5.000000000000;3.000000000000;3.000000000000;5.000000000000;4.000000000000;5.000000000000;6.000000000000;6.000000000000;5.000000000000;3.000000000000;3.000000000000;4.000000000000;3.000000000000;3.000000000000;3.000000000000;4.000000000000;4.000000000000;2.000000000000;24.000000000000;5.000000000000;0.000000000000;4.000000000000;0.000000000000;1.000000000000;1.000000000000;4.000000000000;1.000000000000;2.000000000000
7.000000000000;5.000000000000;6.000000000000;6.000000000000;6.000000000000;6.000000000000;5.000000000000;2.000000000000;4.000000000000;4.000000000000;6.000000000000;3.000000000000;4.000000000000;5.000000000000;6.000000000000;6.000000000000;6.000000000000;6.000000000000;2.000000000000;6.000000000000;6.000000000000;0.000000000000;6.000000000000;0.000000000000;3.000000000000;2.000000000000;1.000000000000;1.000000000000;3.000000000000
4.000000000000;6.000000000000;2.000000000000;3.000000000000;5.000000000000;2.000000000000;5.000000000000;2.000000000000;5.000000000000;4.000000000000;2.000000000000;2.000000000000;2.000000000000;2.000000000000;4.000000000000;5.000000000000;2.000000000000;5.000000000000;1.000000000000;6.000000000000;2.000000000000;0.000000000000;2.000000000000;0.000000000000;1.000000000000;1.000000000000;1.000000000000;0.000000000000;2.000000000000
5.000000000000;7.000000000000;3.000000000000;2.000000000000;5.000000000000;2.000000000000;2.000000000000;7.000000000000;7.000000000000;7.000000000000;2.000000000000;1.000000000000;3.000000000000;1.000000000000;3.000000000000;5.000000000000;2.000000000000;4.000000000000;1.000000000000;24.000000000000;7.000000000000;0.000000000000;7.000000000000;0.000000000000;1.000000000000;3.000000000000;1.000000000000;1.000000000000;3.000000000000
4.000000000000;2.000000000000;2.000000000000;1.000000000000;5.000000000000;4.000000000000;5.000000000000;4.000000000000;3.000000000000;3.000000000000;4.000000000000;4.000000000000;6.000000000000;4.000000000000;3.000000000000;2.000000000000;2.000000000000;3.000000000000;1.000000000000;12.000000000000;3.000000000000;0.000000000000;2.000000000000;1.000000000000;1.000000000000;1.000000000000;1.000000000000;1.000000000000;2.000000000000
7.000000000000;6.000000000000;4.000000000000;6.000000000000;3.000000000000;2.000000000000;6.000000000000;2.000000000000;6.000000000000;2.000000000000;4.000000000000;3.000000000000;4.000000000000;2.000000000000;3.000000000000;3.000000000000;3.000000000000;5.000000000000;1.000000000000;5.000000000000;2.000000000000;0.000000000000;6.000000000000;;1.000000000000;1.000000000000;3.000000000000;1.000000000000;2.000000000000
5.000000000000;5.000000000000;4.000000000000;4.000000000000;4.000000000000;5.000000000000;5.000000000000;5.000000000000;5.000000000000;5.000000000000;5.000000000000;5.000000000000;5.000000000000;5.000000000000;5.000000000000;5.000000000000;5.000000000000;5.000000000000;1.000000000000;12.000000000000;5.000000000000;0.000000000000;5.000000000000;0.000000000000;1.000000000000;1.000000000000;1.000000000000;1.000000000000;3.000000000000
6.000000000000;5.000000000000;3.000000000000;3.000000000000;5.000000000000;5.000000000000;6.000000000000;4.000000000000;3.000000000000;3.000000000000;5.000000000000;3.000000000000;3.000000000000;3.000000000000;4.000000000000;5.000000000000;4.000000000000;5.000000000000;2.000000000000;24.000000000000;7.000000000000;1.000000000000;3.000000000000;0.000000000000;2.000000000000;1.000000000000;2.000000000000;1.000000000000;3.000000000000
7.000000000000;7.000000000000;7.000000000000;7.000000000000;1.000000000000;7.000000000000;7.000000000000;7.000000000000;7.000000000000;7.000000000000;1.000000000000;1.000000000000;1.000000000000;1.000000000000;2.000000000000;1.000000000000;7.000000000000;1.000000000000;1.000000000000;6.000000000000;7.000000000000;1.000000000000;7.000000000000;0.000000000000;3.000000000000;2.000000000000;1.000000000000;1.000000000000;3.000000000000
5.000000000000;4.000000000000;2.000000000000;3.000000000000;5.000000000000;4.000000000000;3.000000000000;5.000000000000;6.000000000000;6.000000000000;4.000000000000;4.000000000000;4.000000000000;4.000000000000;4.000000000000;4.000000000000;4.000000000000;4.000000000000;1.000000000000;19.000000000000;7.000000000000;0.000000000000;4.000000000000;0.000000000000;2.000000000000;1.000000000000;1.000000000000;1.000000000000;3.000000000000
7.000000000000;7.000000000000;5.000000000000;4.000000000000;2.000000000000;2.000000000000;1.000000000000;6.000000000000;7.000000000000;7.000000000000;7.000000000000;5.000000000000;6.000000000000;3.000000000000;6.000000000000;4.000000000000;7.000000000000;7.000000000000;1.000000000000;12.000000000000;7.000000000000;0.000000000000;4.000000000000;0.000000000000;2.000000000000;1.000000000000;1.000000000000;1.000000000000;2.000000000000
2.000000000000;3.000000000000;2.000000000000;2.000000000000;3.000000000000;6.000000000000;5.000000000000;5.000000000000;6.000000000000;6.000000000000;6.000000000000;6.000000000000;6.000000000000;4.000000000000;3.000000000000;4.000000000000;3.000000000000;4.000000000000;4.000000000000;24.000000000000;7.000000000000;1.000000000000;3.000000000000;0.000000000000;3.000000000000;2.000000000000;1.000000000000;1.000000000000;4.000000000000
5.000000000000;6.000000000000;5.000000000000;5.000000000000;6.000000000000;3.000000000000;3.000000000000;3.000000000000;4.000000000000;6.000000000000;5.000000000000;3.000000000000;3.000000000000;5.000000000000;5.000000000000;6.000000000000;6.000000000000;6.000000000000;1.000000000000;24.000000000000;7.000000000000;1.000000000000;5.000000000000;;1.000000000000;1.000000000000;1.000000000000;1.000000000000;3.000000000000
6.000000000000;7.000000000000;5.000000000000;5.000000000000;6.000000000000;3.000000000000;6.000000000000;7.000000000000;7.000000000000;6.000000000000;6.000000000000;4.000000000000;3.000000000000;7.000000000000;7.000000000000;6.000000000000;6.000000000000;6.000000000000;1.000000000000;12.000000000000;6.000000000000;1.000000000000;6.000000000000;0.000000000000;2.000000000000;1.000000000000;1.000000000000;1.000000000000;3.000000000000
5.000000000000;6.000000000000;5.000000000000;5.000000000000;3.000000000000;3.000000000000;4.000000000000;6.000000000000;6.000000000000;6.000000000000;6.000000000000;5.000000000000;4.000000000000;5.000000000000;6.000000000000;5.000000000000;4.000000000000;4.000000000000;1.000000000000;20.000000000000;5.000000000000;0.000000000000;4.000000000000;0.000000000000;2.000000000000;1.000000000000;1.000000000000;0.000000000000;2.000000000000
7.000000000000;7.000000000000;4.000000000000;6.000000000000;1.000000000000;1.000000000000;3.000000000000;2.000000000000;5.000000000000;5.000000000000;4.000000000000;6.000000000000;6.000000000000;5.000000000000;6.000000000000;6.000000000000;6.000000000000;5.000000000000;2.000000000000;13.000000000000;7.000000000000;0.000000000000;7.000000000000;1.000000000000;1.000000000000;2.000000000000;1.000000000000;1.000000000000;3.000000000000
5.000000000000;5.000000000000;4.000000000000;5.000000000000;4.000000000000;5.000000000000;5.000000000000;3.000000000000;4.000000000000;3.000000000000;4.000000000000;3.000000000000;3.000000000000;4.000000000000;4.000000000000;5.000000000000;5.000000000000;5.000000000000;2.000000000000;3.000000000000;5.000000000000;0.000000000000;5.000000000000;1.000000000000;1.000000000000;1.000000000000;1.000000000000;1.000000000000;3.000000000000
7.000000000000;7.000000000000;3.000000000000;4.000000000000;7.000000000000;7.000000000000;7.000000000000;7.000000000000;7.000000000000;7.000000000000;4.000000000000;3.000000000000;2.000000000000;1.000000000000;5.000000000000;6.000000000000;6.000000000000;7.000000000000;1.000000000000;24.000000000000;7.000000000000;0.000000000000;3.000000000000;0.000000000000;2.000000000000;2.000000000000;1.000000000000;1.000000000000;4.000000000000
6.000000000000;4.000000000000;4.000000000000;5.000000000000;7.000000000000;6.000000000000;3.000000000000;2.000000000000;3.000000000000;2.000000000000;7.000000000000;7.000000000000;6.000000000000;6.000000000000;6.000000000000;5.000000000000;6.000000000000;6.000000000000;2.000000000000;24.000000000000;7.000000000000;1.000000000000;5.000000000000;0.000000000000;3.000000000000;2.000000000000;1.000000000000;1.000000000000;3.000000000000
7.000000000000;5.000000000000;2.000000000000;4.000000000000;3.000000000000;3.000000000000;5.000000000000;5.000000000000;4.000000000000;3.000000000000;2.000000000000;3.000000000000;5.000000000000;6.000000000000;5.000000000000;7.000000000000;6.000000000000;5.000000000000;1.000000000000;12.000000000000;5.000000000000;0.000000000000;6.000000000000;1.000000000000;2.000000000000;2.000000000000;1.000000000000;1.000000000000;2.000000000000
7.000000000000;7.000000000000;7.000000000000;6.000000000000;7.000000000000;7.000000000000;7.000000000000;7.000000000000;7.000000000000;7.000000000000;3.000000000000;3.000000000000;7.000000000000;4.000000000000;6.000000000000;3.000000000000;6.000000000000;5.000000000000;1.000000000000;12.000000000000;7.000000000000;1.000000000000;7.000000000000;0.000000000000;3.000000000000;2.000000000000;1.000000000000;1.000000000000;4.000000000000
4.000000000000;4.000000000000;4.000000000000;4.000000000000;5.000000000000;5.000000000000;6.000000000000;6.000000000000;7.000000000000;5.000000000000;5.000000000000;3.000000000000;4.000000000000;6.000000000000;6.000000000000;5.000000000000;6.000000000000;6.000000000000;2.000000000000;24.000000000000;6.000000000000;1.000000000000;5.000000000000;0.000000000000;3.000000000000;2.000000000000;3.000000000000;1.000000000000;3.000000000000
3.000000000000;4.000000000000;2.000000000000;5.000000000000;4.000000000000;6.000000000000;7.000000000000;4.000000000000;6.000000000000;7.000000000000;4.000000000000;3.000000000000;5.000000000000;3.000000000000;2.000000000000;3.000000000000;2.000000000000;2.000000000000;2.000000000000;3.000000000000;7.000000000000;1.000000000000;5.000000000000;0.000000000000;1.000000000000;2.000000000000;1.000000000000;1.000000000000;3.000000000000
5.000000000000;3.000000000000;4.000000000000;4.000000000000;3.000000000000;5.000000000000;7.000000000000;3.000000000000;5.000000000000;6.000000000000;4.000000000000;5.000000000000;4.000000000000;5.000000000000;5.000000000000;5.000000000000;5.000000000000;6.000000000000;2.000000000000;12.000000000000;7.000000000000;1.000000000000;6.000000000000;0.000000000000;1.000000000000;2.000000000000;1.000000000000;1.000000000000;3.000000000000
4.000000000000;3.000000000000;3.000000000000;3.000000000000;6.000000000000;5.000000000000;3.000000000000;4.000000000000;4.000000000000;5.000000000000;4.000000000000;3.000000000000;2.000000000000;4.000000000000;3.000000000000;3.000000000000;3.000000000000;4.000000000000;3.000000000000;8.000000000000;7.000000000000;0.000000000000;6.000000000000;0.000000000000;2.000000000000;1.000000000000;1.000000000000;1.000000000000;3.000000000000
6.000000000000;6.000000000000;5.000000000000;5.000000000000;4.000000000000;5.000000000000;5.000000000000;4.000000000000;4.000000000000;4.000000000000;4.000000000000;4.000000000000;6.000000000000;5.000000000000;5.000000000000;6.000000000000;6.000000000000;6.000000000000;1.000000000000;30.000000000000;7.000000000000;0.000000000000;7.000000000000;0.000000000000;1.000000000000;1.000000000000;1.000000000000;1.000000000000;2.000000000000
3.000000000000;5.000000000000;5.000000000000;2.000000000000;5.000000000000;3.000000000000;5.000000000000;2.000000000000;6.000000000000;5.000000000000;2.000000000000;2.000000000000;6.000000000000;2.000000000000;4.000000000000;3.000000000000;5.000000000000;5.000000000000;2.000000000000;3.000000000000;2.000000000000;0.000000000000;4.000000000000;0.000000000000;1.000000000000;1.000000000000;1.000000000000;0.000000000000;1.000000000000
6.000000000000;5.000000000000;4.000000000000;5.000000000000;6.000000000000;3.000000000000;4.000000000000;3.000000000000;3.000000000000;3.000000000000;3.000000000000;3.000000000000;5.000000000000;3.000000000000;2.000000000000;3.000000000000;5.000000000000;5.000000000000;1.000000000000;12.000000000000;7.000000000000;0.000000000000;5.000000000000;1.000000000000;1.000000000000;1.000000000000;1.000000000000;1.000000000000;3.000000000000
5.000000000000;6.000000000000;3.000000000000;5.000000000000;5.000000000000;6.000000000000;6.000000000000;2.000000000000;5.000000000000;4.000000000000;2.000000000000;2.000000000000;4.000000000000;5.000000000000;5.000000000000;3.000000000000;5.000000000000;5.000000000000;2.000000000000;7.000000000000;7.000000000000;0.000000000000;5.000000000000;0.000000000000;1.000000000000;1.000000000000;1.000000000000;1.000000000000;3.000000000000
6.000000000000;4.000000000000;5.000000000000;3.000000000000;3.000000000000;3.000000000000;3.000000000000;2.000000000000;5.000000000000;6.000000000000;6.000000000000;3.000000000000;2.000000000000;1.000000000000;4.000000000000;3.000000000000;5.000000000000;4.000000000000;2.000000000000;8.000000000000;7.000000000000;1.000000000000;5.000000000000;0.000000000000;2.000000000000;2.000000000000;1.000000000000;1.000000000000;3.000000000000
5.000000000000;6.000000000000;3.000000000000;6.000000000000;5.000000000000;7.000000000000;7.000000000000;7.000000000000;7.000000000000;7.000000000000;5.000000000000;1.000000000000;1.000000000000;1.000000000000;2.000000000000;1.000000000000;1.000000000000;3.000000000000;1.000000000000;12.000000000000;2.000000000000;0.000000000000;5.000000000000;0.000000000000;1.000000000000;2.000000000000;5.000000000000;1.000000000000;4.000000000000
5.000000000000;6.000000000000;5.000000000000;5.000000000000;7.000000000000;7.000000000000;6.000000000000;6.000000000000;7.000000000000;7.000000000000;6.000000000000;7.000000000000;7.000000000000;6.000000000000;7.000000000000;6.000000000000;7.000000000000;7.000000000000;3.000000000000;2.000000000000;7.000000000000;1.000000000000;6.000000000000;0.000000000000;1.000000000000;2.000000000000;2.000000000000;1.000000000000;4.000000000000
4.000000000000;5.000000000000;4.000000000000;3.000000000000;5.000000000000;6.000000000000;7.000000000000;7.000000000000;7.000000000000;7.000000000000;4.000000000000;3.000000000000;3.000000000000;2.000000000000;5.000000000000;2.000000000000;3.000000000000;3.000000000000;1.000000000000;26.000000000000;2.000000000000;0.000000000000;5.000000000000;0.000000000000;1.000000000000;2.000000000000;1.000000000000;1.000000000000;2.000000000000
5.000000000000;4.000000000000;4.000000000000;3.000000000000;6.000000000000;5.000000000000;5.000000000000;3.000000000000;3.000000000000;3.000000000000;5.000000000000;3.000000000000;4.000000000000;5.000000000000;6.000000000000;5.000000000000;4.000000000000;5.000000000000;1.000000000000;10.000000000000;6.000000000000;0.000000000000;3.000000000000;0.000000000000;1.000000000000;1.000000000000;1.000000000000;1.000000000000;2.000000000000
7.000000000000;7.000000000000;7.000000000000;7.000000000000;2.000000000000;7.000000000000;7.000000000000;1.000000000000;1.000000000000;1.000000000000;1.000000000000;1.000000000000;1.000000000000;1.000000000000;7.000000000000;7.000000000000;7.000000000000;7.000000000000;3.000000000000;12.000000000000;7.000000000000;1.000000000000;7.000000000000;0.000000000000;1.000000000000;2.000000000000;2.000000000000;1.000000000000;4.000000000000
7.000000000000;3.000000000000;4.000000000000;4.000000000000;5.000000000000;4.000000000000;4.000000000000;6.000000000000;7.000000000000;7.000000000000;5.000000000000;3.000000000000;5.000000000000;3.000000000000;3.000000000000;5.000000000000;4.000000000000;4.000000000000;2.000000000000;7.000000000000;5.000000000000;1.000000000000;5.000000000000;1.000000000000;1.000000000000;1.000000000000;1.000000000000;1.000000000000;3.000000000000
6.000000000000;6.000000000000;4.000000000000;3.000000000000;4.000000000000;5.000000000000;7.000000000000;7.000000000000;7.000000000000;7.000000000000;6.000000000000;4.000000000000;7.000000000000;7.000000000000;5.000000000000;7.000000000000;7.000000000000;6.000000000000;2.000000000000;12.000000000000;7.000000000000;1.000000000000;4.000000000000;1.000000000000;1.000000000000;2.000000000000;1.000000000000;1.000000000000;3.000000000000
4.000000000000;3.000000000000;3.000000000000;4.000000000000;5.000000000000;5.000000000000;5.000000000000;5.000000000000;5.000000000000;5.000000000000;4.000000000000;4.000000000000;3.000000000000;3.000000000000;4.000000000000;3.000000000000;3.000000000000;4.000000000000;2.000000000000;12.000000000000;5.000000000000;0.000000000000;3.000000000000;0.000000000000;2.000000000000;1.000000000000;1.000000000000;1.000000000000;2.000000000000
6.000000000000;6.000000000000;5.000000000000;4.000000000000;5.000000000000;6.000000000000;5.000000000000;5.000000000000;6.000000000000;6.000000000000;4.000000000000;4.000000000000;2.000000000000;4.000000000000;4.000000000000;5.000000000000;5.000000000000;5.000000000000;2.000000000000;12.000000000000;6.000000000000;1.000000000000;5.000000000000;1.000000000000;1.000000000000;2.000000000000;1.000000000000;1.000000000000;3.000000000000
